lang	dem	synt_pos	anim	role	anaphor_device	anaphor_form	anaphor_referent	anaphor_start	anaphor_end	anaphor_sentence_transcription	anaphor_sentence_translation	filename	length_words
bkh	GA	ADNOM	ANIM	protagonist	GA_NP	gaw hihu bakʼarataɬow adam	man	73.19740633939688	76.88000358454002	Hiwda gaw hihu bakʼarataɬow adam wukʼa ruše	Сам этот груши собирающий человек был на дереве	bkh_pears_gjn_3.TextGrid	293
bkh	GA	ADNOM	ANIM	protagonist	GA_NP	gaw makʼi	boy	79.41251431333892	79.87775901445823	Gaw makʼi qidu udu qidu arakʷa. Gošːuj hiwda(denda) haʁičʼarudi	Этот мадьчик посмотрел туда посмотрел сюда. Тот самому (меня) неуведев	bkh_pears_gjn_3.TextGrid	293
bkh	GO	INDEP	INANIM	secondary character	GO	gošːuj	?man	82.5293091415966	82.91752657431867	Gaw makʼi qidu udu qidu arakʷa. Gošːuj hiwda(denda) haʁičʼarudi	Этот мадьчик посмотрел туда посмотрел сюда. Тот самому (меня) неуведев	bkh_pears_gjn_3.TextGrid	293
bkh	GA	INDEP	ANIM	protagonist	GA	gašːudi	boy	87.40679451954783	88.09387775365119	Ibχila ibχu ceb karzina gašːudi bukʼo inšːubda welosipedičʼu hea	Взяв одну корзину этот поставил на свой велосипед	bkh_pears_gjn_3.TextGrid	293
bkh	GA	INDEP	INANIM	secondary character	GA	gabla	basket	91.53782530524437	92.03079982298668	Gabla bukʼoχuda gašːuχila macʼːičʼada	Это поставив этого не спрося	bkh_pears_gjn_3.TextGrid	293
bkh	GA	INDEP	ANIM	protagonist	GA	gašːuχila	man	92.72544190776027	93.44025495848663	Gabla bukʼoχuda gašːuχila macʼːičʼada	Это поставив этого не спрося	bkh_pears_gjn_3.TextGrid	293
bkh	GA	INDEP	ANIM	protagonist	GA	gaw	boy	97.03293464525021	97.42115207797228	Ħasilь baqʼašːila baqʼašːu gaw waa... weɬa wukʼa inšːubda meqʼida	Суть украдя украв этот ушёл...  шёл по своей дороге	bkh_pears_gjn_3.TextGrid	293
bkh	GA	INDEP	ANIM	protagonist	GA	gal	boys	113.79555654766152	114.03896271579679	ʁaɬakʼorudi gal danda ʁalaɬob muse gašːub	Идя эти навстречу идя(ходя) месте этого	bkh_pears_gjn_3.TextGrid	293
bkh	GA	INDEP	INANIM	secondary character	GA	gašːub	?	115.63216512492215	116.12205855192856	ʁaɬakʼorudi gal danda ʁalaɬob muse gašːub	Идя эти навстречу идя(ходя) месте этого	bkh_pears_gjn_3.TextGrid	293
bkh	GA	INDEP	ANIM	protagonist	GA	gaw	boy	122.33463767862389	122.54415184866437	Buarudi gaw hačʼaχa waχe, idaχobda hihula čabaraχa čabdu mae	Опрокинув этот падает на месте, все груши на пол сыпаясь уходят	bkh_pears_gjn_3.TextGrid	293
bkh	GA	ADNOM	INANIM	secondary character	GA_NP	gab musa	place	128.50198179639466	129.01344285855228	Gab musa he ʁe habuda makʼi reχutʼu	На это место подходят трое ребят(детей) за ними	bkh_pears_gjn_3.TextGrid	293
bkh	GA	INDEP	ANIM	protagonist	GA	galudi	boys	132.83608607198934	133.1934925973525	ʁarudi galudi gašːuj kumak ihe gab hihula bakʼaramale welosipedičʼu gabla bukʼamale gaw wešːte batʼa	Придя эти  тому помогли те груши собрали на велосипед это тоже поставили этого отпускают дальше	bkh_pears_gjn_3.TextGrid	293
bkh	GA	INDEP	ANIM	protagonist	GA	gašːuj	boy	133.2262524173991	133.59290221496994	ʁarudi galudi gašːuj kumak ihe gab hihula bakʼaramale welosipedičʼu gabla bukʼamale gaw wešːte batʼa	Придя эти  тому помогли те груши собрали на велосипед это тоже поставили этого отпускают дальше	bkh_pears_gjn_3.TextGrid	293
bkh	GA	ADNOM	INANIM	secondary character	GA_NP	gab hihula	pears	134.83332668460093	135.37559865411745	ʁarudi galudi gašːuj kumak ihe gab hihula bakʼaramale welosipedičʼu gabla bukʼamale gaw wešːte batʼa	Придя эти  тому помогли те груши собрали на велосипед это тоже поставили этого отпускают дальше	bkh_pears_gjn_3.TextGrid	293
bkh	GA	INDEP	INANIM	secondary character	GA	gabla	?pears	137.3815165039078	137.84059902355528	ʁarudi galudi gašːuj kumak ihe gab hihula bakʼaramale welosipedičʼu gabla bukʼamale gaw wešːte batʼa	Придя эти  тому помогли те груши собрали на велосипед это тоже поставили этого отпускают дальше	bkh_pears_gjn_3.TextGrid	293
bkh	GA	INDEP	ANIM	protagonist	GA	gaw	boy	138.77136692446442	139.10720581467635	ʁarudi galudi gašːuj kumak ihe gab hihula bakʼaramale welosipedičʼu gabla bukʼamale gaw wešːte batʼa	Придя эти  тому помогли те груши собрали на велосипед это тоже поставили этого отпускают дальше	bkh_pears_gjn_3.TextGrid	293
bkh	GA	INDEP	ANIM	protagonist	GA	gašːub	boy	147.02585563766704	147.55580324424	Gašːub mise hačʼaχa bukːu šljapa	Этого нашли на пол упавшая шляпа	bkh_pears_gjn_3.TextGrid	293
bkh	GO	INDEP	ANIM	protagonist	GO	gow	boy	153.68267775736922	154.04316537346827	Šljapa gučʼa wukʼi behikʼamaχa gow?	Без шляпы быть может он?	bkh_pears_gjn_3.TextGrid	293
bkh	GA	INDEP	ANIM	protagonist	?GA	galudi	boys	156.8253812702885	157.39230196569213	Danda bukʼečʼukʼobi galudi čestnыj makʼil rukʼab qʼajda. galudi šamšːala pudu wakʼarajla wakʼaro gašːučʼu kʷada kːe- gʷa dubda šljapa	Так же не пойдет эти честние дети были видимо. Эти свистнув подзывая подозвав этому на руки дают - на свою шлапа	bkh_pears_gjn_3.TextGrid	293
bkh	GA	INDEP	ANIM	protagonist	GA	galudi	boys	159.46194136882232	159.93951043288516	Danda bukʼečʼukʼobi galudi čestnыj makʼil rukʼab qʼajda. galudi šamšːala pudu wakʼarajla wakʼaro gašːučʼu kʷada kːe- gʷa dubda šljapa	Так же не пойдет эти честние дети были видимо. Эти свистнув подзывая подозвав этому на руки дают - на свою шлапа	bkh_pears_gjn_3.TextGrid	293
bkh	GA	INDEP	ANIM	protagonist	GA	gašːudi	boy	164.75958726490273	165.197102149399	Gašːudi barkala ħisabalda ~gašːuj kːe~ galuj kːe habudala makʼij ce-ceb ʁamdi hihu	Он в знак благодарности  (или за(для) спасибо) им даёт троим детям по одной  кушать грушу	bkh_pears_gjn_3.TextGrid	293
bkh	GA	INDEP	ANIM	protagonist	GA	galuj	boys	167.07066991596034	167.46196843941829	Gašːudi barkala ħisabalda ~gašːuj kːe~ galuj kːe habudala makʼij ce-ceb ʁamdi hihu	Он в знак благодарности  (или за(для) спасибо) им даёт троим детям по одной  кушать грушу	bkh_pears_gjn_3.TextGrid	293
bkh	GA	INDEP	INANIM	secondary character	GA	gaw	?boy	175.54714777210089	175.89839211599227	ʁamdi hihula ikːuχuda reqʼu cʼekʼuɬi gaw (ili gal)	Кушать грушу давая хромой ногой он (этот (они))	bkh_pears_gjn_3.TextGrid	293
bkh	GA	ADNOM	ANIM	protagonist	GA_NP	gal habudala makʼil	boys	179.31810625878322	180.23319020734235	Makʼil welosipedejičʼula nakʼʷa batʼa nae. Gal habudala makʼil racʼe gab hihu čʼirdatakʼob musa	Дети (ребята) на велосипеды  садясь прочь уходят. Эти трое ребят(детей) доходят эти груши  собиравшееся место	bkh_pears_gjn_3.TextGrid	293
bkh	GA	ADNOM	INANIM	secondary character	?GA_NP	gab hihu čʼirdatakʼob musa	place	181.6086165263333	181.86742814814798	Makʼil welosipedejičʼula nakʼʷa batʼa nae. Gal habudala makʼil racʼe gab hihu čʼirdatakʼob musa	Дети (ребята) на велосипеды  садясь прочь уходят. Эти трое ребят(детей) доходят эти груши  собиравшееся место	bkh_pears_gjn_3.TextGrid	293
bkh	GA	INDEP	INANIM	secondary character	GA	gab	?	188.00101719422838	188.2844775419302	Gaɬa racʼarudi gab gal ʁidara sea rušeku hiƛʼa wuɬe gaw adam čʼirdaruqan	Туда дойдя это  эти(ребята, мак1иль) перед тем как они дойдут с дерева  слезает этот человек сорвальщик- (собиральщик)	bkh_pears_gjn_3.TextGrid	293
bkh	GA	INDEP	ANIM	protagonist	GA	gal	boys	188.31528844928908	188.50015389344244	Gaɬa racʼarudi gab gal ʁidara sea rušeku hiƛʼa wuɬe gaw adam čʼirdaruqan	Туда дойдя это  эти(ребята, мак1иль) перед тем как они дойдут с дерева  слезает этот человек сорвальщик- (собиральщик)	bkh_pears_gjn_3.TextGrid	293
bkh	GA	ADNOM	ANIM	protagonist	GA_NP	gaw adam čʼirdaruqan	man	191.74481189931666	193.8584401441367	Gaɬa racʼarudi gab gal ʁidara sea rušeku hiƛʼa wuɬe gaw adam čʼirdaruqan	Туда дойдя это  эти(ребята, мак1иль) перед тем как они дойдут с дерева  слезает этот человек сорвальщик- (собиральщик)	bkh_pears_gjn_3.TextGrid	293
bkh	GA	INDEP	ANIM	protagonist	GA	gašːuj	man	196.91024453058222	197.23992123932237	Qide gašːuj gaɬa mise kʼeda karzina habujχob karzina inala gašub(inšub) maatalu wiχu weχʷe gaw	смотрит этот(он) туда находит 2 корзины. Третья карзина куда делась этого ( его)удивленый остается этот(он)	bkh_pears_gjn_3.TextGrid	293
bkh	GA	INDEP	ANIM	protagonist	?GA	gašub	man	200.0774599509744	200.51805592620656	Qide gašːuj gaɬa mise kʼeda karzina habujχob karzina inala gašub(inšub) maatalu wiχu weχʷe gaw	смотрит этот(он) туда находит 2 корзины. Третья карзина куда делась этого ( его)удивленый остается этот(он)	bkh_pears_gjn_3.TextGrid	293
bkh	GA	INDEP	ANIM	protagonist	?GA	gaw	man	201.5716382399365	201.84277422469478	Qide gašːuj gaɬa mise kʼeda karzina habujχob karzina inala gašub(inšub) maatalu wiχu weχʷe gaw	смотрит этот(он) туда находит 2 корзины. Третья карзина куда делась этого ( его)удивленый остается этот(он)	bkh_pears_gjn_3.TextGrid	293
bkh	GA	ADNOM	INANIM	secondary character	GA_NP	gab muse	place	204.04505113942224	204.5226202034851	Wiχu weχʷarudi gab muse, hea ʁe gal habudala makʼil gašːučʼu reƛʼaruku nae ce-ceb hihula ʁamdu	Удивленым оставаясь  на этом месте, подходят эти трое ребят(детей) мимо него проходят по одной груше кушая	bkh_pears_gjn_3.TextGrid	293
bkh	GA	ADNOM	ANIM	protagonist	GA_NP	gal habudala makʼil	boys	204.82946038860186	205.5348932407161	Wiχu weχʷarudi gab muse, hea ʁe gal habudala makʼil gašːučʼu reƛʼaruku nae ce-ceb hihula ʁamdu	Удивленым оставаясь  на этом месте, подходят эти трое ребят(детей) мимо него проходят по одной груше кушая	bkh_pears_gjn_3.TextGrid	293
bkh	GA	INDEP	ANIM	protagonist	GA	gašːučʼu	man	205.66429905162343	206.06175975655316	Wiχu weχʷarudi gab muse, hea ʁe gal habudala makʼil gašːučʼu reƛʼaruku nae ce-ceb hihula ʁamdu	Удивленым оставаясь  на этом месте, подходят эти трое ребят(детей) мимо него проходят по одной груше кушая	bkh_pears_gjn_3.TextGrid	293
bkh	GA	INDEP	ANIM	protagonist	GA	gawla	man	209.44072590402212	209.84742988115948	Heeχa qidu gawla weχʷe (galla reχʷe. Eto moment tože ne razobrala. ) gʷanzi χabar iɬila masa	Наверх( удивленый) смотря он тоже  остается ( эти тоже остаются)Хороший  рассказ мы тожее рассказали	bkh_pears_gjn_3.TextGrid	293
bkh	GA	INDEP	ANIM	protagonist	GA	gaw	man	2.5989840884206865	2.810038803829117	...čʼitrdatida gaw ceb	...срывает он(этот) один	bkh_pears_hdz_2.TextGrid	122
bkh	GO	INDEP	ANIM	protagonist	GO	gošːub	man	11.943434224481384	12.219191845343493	Gošːub ceb karzinala baqʼašːu waa	Его одну карзину украв ушёл	bkh_pears_hdz_2.TextGrid	122
bkh	GO	INDEP	ANIM	protagonist	GO	gow	boy	16.989695033859064	17.146830661389426	Waa gow goɬu ...cebla welosipedičʼu dandala tunkidu čabdu gašːub gab widra	Ушёл он там... столкнувшись с другим велосипедом рассыпалась  его(этого) это ведро	bkh_pears_hdz_2.TextGrid	122
bkh	GA	INDEP	ANIM	protagonist	GA	gašːub	boy	20.629168330176388	21.02971012584202	Waa gow goɬu ...cebla welosipedičʼu dandala tunkidu čabdu gašːub gab widra	Ушёл он там... столкнувшись с другим велосипедом рассыпалась  его(этого) это ведро	bkh_pears_hdz_2.TextGrid	122
bkh	GA	ADNOM	INANIM	secondary character	GA_NP	gab widra	?basket	21.08516975908803	21.645928273019912	Waa gow goɬu ...cebla welosipedičʼu dandala tunkidu čabdu gašːub gab widra	Ушёл он там... столкнувшись с другим велосипедом рассыпалась  его(этого) это ведро	bkh_pears_hdz_2.TextGrid	122
bkh	GO	ADNOM	INANIM	secondary character	GO_NP	gob čabdab wedra	?basket	24.656507534651915	25.269644591093922	Wedrala čabdu, hena gob čabdab wedra hea celь ʕoloqabaɬilja ħali ruɬu sabdu gošːuj gobla	Ведро уронили, теперь это ведро которое уронили, пришли некоторые парни, помогли ему собрать	bkh_pears_hdz_2.TextGrid	122
bkh	GO	INDEP	ANIM	protagonist	GO	gošːuj	boy	27.812066035723035	28.187959105501555	Wedrala čabdu, hena gob čabdab wedra hea celь ʕoloqabaɬilja ħali ruɬu sabdu gošːuj gobla	Ведро уронили, теперь это ведро которое уронили, пришли некоторые парни, помогли ему собрать	bkh_pears_hdz_2.TextGrid	122
bkh	GO	INDEP	ANIM	protagonist	?GO	gowla	boy	29.00030468374535	29.25911630556007	Gowla witʼo ʕoloqabaɬi batʼa naewčʼima	Его отправив молодеж обратно идут ведь*	bkh_pears_hdz_2.TextGrid	122
bkh	GO	INDEP	ANIM	protagonist	GO	gow	boy	32.65218553743919	32.92024043146157	Hena gow udado wacʼarudi weχutʼula čuha gocewšːudi hihu idaχa goluj kːataχab bukʼa	Теперь когда он ушел подальше, вслед побежал и тот груши дал им	bkh_pears_hdz_2.TextGrid	122
bkh	GO	INDEP	ANIM	protagonist	?GO	goluj	boys	35.68942636272758	36.08688706765732	Hena gow udado wacʼarudi weχutʼula čuha gocewšːudi hihu idaχa goluj kːataχab bukʼa	Теперь когда он ушел подальше, вслед побежал и тот груши дал им	bkh_pears_hdz_2.TextGrid	122
bkh	GO	ADNOM	ANIM	protagonist	GO_NP	gow waχara adam	man	41.59344753825191	42.416098764734386	Hena gow waχara adam hiƛʼa hinʁʷa mihuraχiku	Теперь тот старый человек спустился со стремянки	bkh_pears_hdz_2.TextGrid	122
bkh	GO	INDEP	ANIM	protagonist	?GO	gošːuj	man	45.56455059600118	46.060606204479384	Mihuraχiku hiƛʼa ʁʷarudi misičʼa gošːuj ceʁab korzina	Когда он спустился со стремянки он не нашел одну корзину	bkh_pears_hdz_2.TextGrid	122
bkh	GO	INDEP	ANIM	protagonist	GO	goluχi	boys	49.27422068769523	49.70865448145564	Eχa goluχi weχutʼula qiduχuda ihina bičʼa gowla ida goɬa weχːu	Потом вслед им смотрел и не знал что делать	bkh_pears_hdz_2.TextGrid	122
bkh	GA	INDEP	ANIM	protagonist	GA	gaw	man	11.753526210837368	12.036986558539201	Hiƛʼa ibχu he ibχu wukʼe gaw	Вниз спуская вверх поднимая бывает он	bkh_pears_mgk_4.TextGrid	115
bkh	GA	INDEP	INANIM	secondary character	GA	gašːub	?man	12.683818599773511	13.130576756477488	Gašːub gab barɬa išːtuda inɬida χʷala	Его это тоскал(ая, али..) 5 - 6 аж	bkh_pears_mgk_4.TextGrid	115
bkh	GA	INDEP	INANIM	secondary character	GA	gab	?basket	13.318523291366747	13.47565891889711	Gašːub gab barɬa išːtuda inɬida χʷala	Его это тоскал(ая, али..) 5 - 6 аж	bkh_pears_mgk_4.TextGrid	115
bkh	GO	INDEP	INANIM	secondary character	GO	gob	?	26.895170786076385	27.181712224514108	~baqʼašːu~ baqʼašːab χobi gob	Краденное же это	bkh_pears_mgk_4.TextGrid	115
bkh	GA	INDEP	INANIM	secondary character	GA	gaj	girl(boy)	29.72896754477986	29.932319533348565	Welosipedɬi eɬakʼorudi hačʼaχa jaχe gaj	На велосипеде езжая  падает она	bkh_pears_mgk_4.TextGrid	115
bkh	GA	INDEP	INANIM	secondary character	GA	gaɬij	girl(boy)	34.73823012306138	35.04942028738622	Gaɬij kumekla he ,gaɬij hihula hina bihe, jašːikiɬa hina	Ей помогать тоже делает , ей грушу тоже внутрь собирает,  в ящик внутрь	bkh_pears_mgk_4.TextGrid	115
bkh	GA	INDEP	INANIM	secondary character	GA	gaɬij	girl(boy)	36.083598181578715	36.416355981054785	Gaɬij kumekla he ,gaɬij hihula hina bihe, jašːikiɬa hina	Ей помогать тоже делает , ей грушу тоже внутрь собирает,  в ящик внутрь	bkh_pears_mgk_4.TextGrid	115
bkh	GA	INDEP	INANIM	secondary character	GA	gaj	girl(boy)	39.833756952218955	40.08948748329778	Gaj meqʼida jiχe hurudila gaɬidi ce-ceb hihudala kːečʼu	Её провожают даже тогда она по одной груше не даёт	bkh_pears_mgk_4.TextGrid	115
bkh	GA	INDEP	INANIM	secondary character	GA	gaɬidi	girl(boy)	41.242280514670654	41.525740862372494	Gaj meqʼida jiχe hurudila gaɬidi ce-ceb hihudala kːečʼu	Её провожают даже тогда она по одной груше не даёт	bkh_pears_mgk_4.TextGrid	115
bkh	GO	ADNOM	ANIM	protagonist	GO_NP	gol habuda	boys	46.786119191780365	47.29449916320214	Eχa qidi naarudi gol habuda danda raχaluj	Потом смотреть когда пошли тем троим встретили которых	bkh_pears_mgk_4.TextGrid	115
bkh	GO	INDEP	INANIM	secondary character	GO	goɬidi	girl(boy)	48.82766910693023	49.20048108597287	Beʁe goɬidi gob baqʼašːo bukʼir. Eχa gow χozʲainijla beʁe	Узнали что она то спрятала. Потом тот хозяин тоже узнал	bkh_pears_mgk_4.TextGrid	115
bkh	GO	INDEP	INANIM	secondary character	GO	gob	?pears	49.25285962848299	49.394589802333904	Beʁe goɬidi gob baqʼašːo bukʼir. Eχa gow χozʲainijla beʁe	Узнали что она то спрятала. Потом тот хозяин тоже узнал	bkh_pears_mgk_4.TextGrid	115
bkh	GO	ADNOM	ANIM	protagonist	GO_NP	gow χozʲainijla	man	50.497089113705414	51.193415620016445	Beʁe goɬidi gob baqʼašːo bukʼir. Eχa gow χozʲainijla beʁe	Узнали что она то спрятала. Потом тот хозяин тоже узнал	bkh_pears_mgk_4.TextGrid	115
bkh	GO	INDEP	ANIM	protagonist	GO	goludimaχi	boys	53.706320094949746	54.29480842550464	Χoziiniɬila šːakɬi bukːe goludimaχi ibχutalu hiƛʼu gob	У хозяина тоже сомнения появляется те чтоли взяли(забрали) то	bkh_pears_mgk_4.TextGrid	115
bkh	GO	INDEP	INANIM	secondary character	?GO	gob	basket	54.87097239311598	55.09281092610003	Χoziiniɬila šːakɬi bukːe goludimaχi ibχutalu hiƛʼu gob	У хозяина тоже сомнения появляется те чтоли взяли(забрали) то	bkh_pears_mgk_4.TextGrid	115
bkh	GO	ADNOM	INANIM	secondary character	GO_NP	goj makʼidi	girl(boy)	55.50072068259208	56.03374937990097	Goj makʼidi ibχu bukʼe. Ibχʷal balal reʁečʼu	Та девочка (девушка) взяла(забрала, купила). Кто забирал  не известно	bkh_pears_mgk_4.TextGrid	115
bkh	GA	INDEP	ANIM	protagonist	GA	gaw	man	17.633193606796933	17.91049177302699	Aχiƛʼala waa, inšːubda rušala etu, hihu čʼirdata wukʼa gaw	Пошел в сад, залез на свое дерево, и собирал груши он	bkh_pears_ptm_1.TextGrid	238
bkh	GA	INDEP	ANIM	protagonist	GA	gašːudi	man	19.20871029928669	19.70168481702901	Čʼirdab hihu bukʼa gašːudi gizabaχi marsata	Собранные груши он складывал в корзину	bkh_pears_ptm_1.TextGrid	238
bkh	GA	INDEP	ANIM	protagonist	GA	gaw	man	24.21191236012305	24.442994165314765	Eχa kʼeda gizula hibcʼo, etu gaw ruša	Потом две корзины наполнил, залез он на дерево	bkh_pears_ptm_1.TextGrid	238
bkh	GO	INDEP	ANIM	secondary character	GO	gow	man2	33.85324869879566	34.09357377619504	Eχa gow batʼa waab zamanadi, hinʁʷa cew makʼi	Потом когда он ушел, пришел один мальчик	bkh_pears_ptm_1.TextGrid	238
bkh	GA	INDEP	ANIM	protagonist	GA	gašːudi	boy	42.96425531589071	43.36171602082046	Ceb gizula bukʼo gašːudi gaɬa hea	Одну корзину поставил он на нее	bkh_pears_ptm_1.TextGrid	238
bkh	GA	INDEP	ANIM	protagonist	GA	gašːuχi	man	44.74514203572196	45.17341364801061	Gašːuχi ebkʼʷalala ƛʼičʼada waa gaw gabla ibča χuda	Ему тоже ничего не сказал, и уехал на велосипеде	bkh_pears_ptm_1.TextGrid	238
bkh	GO	INDEP	ANIM	secondary character	GO	goj	girl	54.70029761527241	55.05462304989971	Eχa goj ʁaršːu, gošːub miqʼasub qʼabaɬa bukːu	Она его зацепила, его шапка с головы упала	bkh_pears_ptm_1.TextGrid	238
bkh	GO	INDEP	ANIM	protagonist	GO	gošːub	boy	55.710443292322516	56.08633636210104	Eχa goj ʁaršːu, gošːub miqʼasub qʼabaɬa bukːu	Она его зацепила, его шапка с головы упала	bkh_pears_ptm_1.TextGrid	238
bkh	GO	INDEP	ANIM	protagonist	GO	gow	boy	60.35353985206437	60.5815405665202	Qʼabaɬa bukːab zamanadi gow goɬiχilja qidu	Когда упала шапка, он на нее посмотрел	bkh_pears_ptm_1.TextGrid	238
bkh	GO	INDEP	ANIM	secondary character	GO	goɬiχilja	girl	60.624675836822654	61.284029254303015	Qʼabaɬa bukːab zamanadi gow goɬiχilja qidu	Когда упала шапка, он на нее посмотрел	bkh_pears_ptm_1.TextGrid	238
bkh	GO	INDEP	INANIM	secondary character	GO	goɬa	?stone	64.13504473165787	64.37536980905725	Sea bukʼab ančala haʁičʼa, goɬa welosipedla tunkidu, hačʼaχa waχa gow. Hačʼaχa waχarudi	Спереди который был камень не увидел, на нее стукнулся велосипед, и он упал. И когда упал	bkh_pears_ptm_1.TextGrid	238
bkh	GO	INDEP	ANIM	protagonist	GO	gow	boy	66.50426370920026	66.64599388305118	Sea bukʼab ančala haʁičʼa, goɬa welosipedla tunkidu, hačʼaχa waχa gow. Hačʼaχa waχarudi	Спереди который был камень не увидел, на нее стукнулся велосипед, и он упал. И когда упал	bkh_pears_ptm_1.TextGrid	238
bkh	GO	INDEP	ANIM	protagonist	GO	gow	boy	71.53227056876749	71.79108219058222	Hena gow wukʼa eχa hačʼaχala winkʼa χuda, inšːubda žabdab tunkadab nabaɬe ɬurɬaduta	Теперь он нагнулся и гладит места которые ушиб	bkh_pears_ptm_1.TextGrid	238
bkh	GA	INDEP	ANIM	protagonist	GA	galudi	boys	80.88067724536975	81.24732704294061	Galudi kumak ihu gašːuj, gabla bakʼaro uda hina	Они помогли ему, собрали груши тоже туда внутрь	bkh_pears_ptm_1.TextGrid	238
bkh	GA	INDEP	ANIM	protagonist	GA	gašːuj	boy	82.2486815321047	82.63381787409088	Galudi kumak ihu gašːuj, gabla bakʼaro uda hina	Они помогли ему, собрали груши тоже туда внутрь	bkh_pears_ptm_1.TextGrid	238
bkh	GA	INDEP	ANIM	protagonist	GA	gaw	boy	88.00735891026062	88.23535962471644	Eχa welosipedičʼu hea gabla bukʼo, kumakla ihu gaw miqʼida wuχu	Потом поставили на велосипед, и проводили его в путь	bkh_pears_ptm_1.TextGrid	238
